"chromosome_name","start_position","end_position","ensembl_gene_id","entrezgene_id","gene_biotype","entrezgene_accession","entrezgene_description","go_id","name_1006","definition_1006"
"23",4166219,4176536,"ENSTGUG00000000890",100190271,"protein_coding","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","GO:0045171","intercellular bridge","A direct connection between the cytoplasm of two cells that is formed following the completion of cleavage furrow ingression during cell division. They are usually present only briefly prior to completion of cytokinesis. However, in some cases, such as the bridges between germ cells during their development, they become stabilised."
"23",4166219,4176536,"ENSTGUG00000000890",100190271,"protein_coding","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8","","",""
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0005634","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0006397","mRNA processing","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0008380","RNA splicing","The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0000387","spliceosomal snRNP assembly","The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0006396","RNA processing","Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0005681","spliceosomal complex","Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0071208","histone pre-mRNA DCP binding","Interacting selectively and non-covalently with the downstream cleavage product (DCP) generated by histone pre-mRNA 3'-end processing."
"15",2909974,2914310,"ENSTGUG00000010079",100190737,"protein_coding","SNRPD3","small nuclear ribonucleoprotein D3 polypeptide","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"10",4744096,4802562,"ENSTGUG00000005002",100192322,"protein_coding","TPM1","tropomyosin 1","","",""
"10",4744096,4802562,"ENSTGUG00000005002",100192322,"protein_coding","TPM1","tropomyosin 1","GO:0005829","cytosol","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"10",4744096,4802562,"ENSTGUG00000005002",100192322,"protein_coding","TPM1","tropomyosin 1","GO:0015629","actin cytoskeleton","The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."
"10",4744096,4802562,"ENSTGUG00000005002",100192322,"protein_coding","TPM1","tropomyosin 1","GO:0005856","cytoskeleton","Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
"10",4744096,4802562,"ENSTGUG00000005002",100192322,"protein_coding","TPM1","tropomyosin 1","GO:0003779","actin binding","Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0021954","central nervous system neuron development","The process whose specific outcome is the progression of a neuron whose cell body is located in the central nervous system, from initial commitment of the cell to a neuronal fate, to the fully functional differentiated neuron."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0001578","microtubule bundle formation","A process that results in a parallel arrangement of microtubules."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0015631","tubulin binding","Interacting selectively and non-covalently with monomeric or multimeric forms of tubulin, including microtubules."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0008017","microtubule binding","Interacting selectively and non-covalently with microtubules, filaments composed of tubulin monomers."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0005856","cytoskeleton","Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
"7",27663195,27894893,"ENSTGUG00000011322",100217535,"protein_coding","MAP2","microtubule associated protein 2","GO:0005874","microtubule","Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0005886","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0043087","regulation of GTPase activity","Any process that modulates the rate of GTP hydrolysis by a GTPase."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0001784","phosphotyrosine residue binding","Interacting selectively and non-covalently with a phosphorylated tyrosine residue within a protein."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0007264","small GTPase mediated signal transduction","Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0005085","guanyl-nucleotide exchange factor activity","Stimulates the exchange of guanyl nucleotides associated with a GTPase. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0030032","lamellipodium assembly","Formation of a lamellipodium, a thin sheetlike extension of the surface of a migrating cell."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0005154","epidermal growth factor receptor binding","Interacting selectively and non-covalently with the epidermal growth factor receptor."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0016477","cell migration","The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues. Cell migration is a central process in the development and maintenance of multicellular organisms."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0008361","regulation of cell size","Any process that modulates the size of a cell."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0030031","cell projection assembly","Formation of a prolongation or process extending from a cell, e.g. a flagellum or axon."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","Any process that activates or increases the frequency, rate or extent of phosphatidylinositol 3-kinase activity."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0035556","intracellular signal transduction","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0005515","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0046872","metal ion binding","Interacting selectively and non-covalently with any metal ion."
"17",8062252,8179507,"ENSTGUG00000005682",100217604,"protein_coding","VAV2","vav guanine nucleotide exchange factor 2","GO:0050790","regulation of catalytic activity","Any process that modulates the activity of an enzyme."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0007186","G protein-coupled receptor signaling pathway","A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0004930","G protein-coupled receptor activity","Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","The series of molecular signals generated as a consequence of a G protein-coupled receptor binding to its physiological ligand, where the pathway proceeds through activation of adenylyl cyclase activity and a subsequent increase in the concentration of cyclic AMP (cAMP)."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:1901621","negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning","Any process that stops, prevents or reduces the frequency, rate or extent of smoothened signaling pathway involved in dorsal/ventral neural tube patterning."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0005929","cilium","A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body."
"1",19921341,19933717,"ENSTGUG00000013437",100217824,"protein_coding","GPR161","G protein-coupled receptor 161","GO:0055037","recycling endosome","An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0048471","perinuclear region of cytoplasm","Cytoplasm situated near, or occurring around, the nucleus."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0005802","trans-Golgi network","The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0005768","endosome","A vacuole to which materials ingested by endocytosis are delivered."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0005770","late endosome","A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0005769","early endosome","A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0055037","recycling endosome","An organelle consisting of a network of tubules that functions in targeting molecules, such as receptors transporters and lipids, to the plasma membrane."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0031982","vesicle","Any small, fluid-filled, spherical organelle enclosed by membrane."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0045022","early endosome to late endosome transport","The directed movement of substances, in membrane-bounded vesicles, from the early sorting endosomes to the late sorting endosomes; transport occurs along microtubules and can be experimentally blocked with microtubule-depolymerizing drugs."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0019905","syntaxin binding","Interacting selectively and non-covalently with a syntaxin, a SNAP receptor involved in the docking of synaptic vesicles at the presynaptic zone of a synapse."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:0019869","chloride channel inhibitor activity","Stops, prevents, or reduces the activity of a chloride channel."
"18",4708187,4788925,"ENSTGUG00000028237",100217832,"protein_coding","STX8","syntaxin 8","GO:1903076","regulation of protein localization to plasma membrane","Any process that modulates the frequency, rate or extent of protein localization to plasma membrane."
"23",4055893,4063354,"ENSTGUG00000000930",100218052,"protein_coding","TCEA3","transcription elongation factor A3","GO:0003676","nucleic acid binding","Interacting selectively and non-covalently with any nucleic acid."
"23",4055893,4063354,"ENSTGUG00000000930",100218052,"protein_coding","TCEA3","transcription elongation factor A3","GO:0046872","metal ion binding","Interacting selectively and non-covalently with any metal ion."
"23",4055893,4063354,"ENSTGUG00000000930",100218052,"protein_coding","TCEA3","transcription elongation factor A3","GO:0005634","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"23",4055893,4063354,"ENSTGUG00000000930",100218052,"protein_coding","TCEA3","transcription elongation factor A3","GO:0006351","transcription, DNA-templated","The cellular synthesis of RNA on a template of DNA."
"23",4055893,4063354,"ENSTGUG00000000930",100218052,"protein_coding","TCEA3","transcription elongation factor A3","GO:0008270","zinc ion binding","Interacting selectively and non-covalently with zinc (Zn) ions."
"23",4055893,4063354,"ENSTGUG00000000930",100218052,"protein_coding","TCEA3","transcription elongation factor A3","GO:0006355","regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0005515","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules)."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0042803","protein homodimerization activity","Interacting selectively and non-covalently with an identical protein to form a homodimer."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0046982","protein heterodimerization activity","Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0070530","K63-linked polyubiquitin modification-dependent protein binding","Interacting selectively and non-covalently with a protein upon poly-ubiquitination formed by linkages between lysine residues at position 63 in the target protein."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0000122","negative regulation of transcription by RNA polymerase II","Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0002711","positive regulation of T cell mediated immunity","Any process that activates or increases the frequency, rate, or extent of T cell mediated immunity."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0006281","DNA repair","The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0006338","chromatin remodeling","Dynamic structural changes to eukaryotic chromatin occurring throughout the cell division cycle. These changes range from the local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0006974","cellular response to DNA damage stimulus","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0019985","translesion synthesis","The replication of damaged DNA by synthesis across a lesion in the template strand; a specialized DNA polymerase or replication complex inserts a defined nucleotide across from the lesion which allows DNA synthesis to continue beyond the lesion. This process can be mutagenic depending on the damaged nucleotide and the inserted nucleotide."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0030183","B cell differentiation","The process in which a precursor cell type acquires the specialized features of a B cell. A B cell is a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0032825","positive regulation of natural killer cell differentiation","Any process that activates or increases the frequency, rate or extent of natural killer cell differentiation."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0033077","T cell differentiation in thymus","The process in which a precursor cell type acquires the specialized features of a T cell via a differentiation pathway dependent upon transit through the thymus."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0034644","cellular response to UV","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0042789","mRNA transcription by RNA polymerase II","The cellular synthesis of messenger RNA (mRNA) from a DNA template by RNA polymerase II, originating at an RNA polymerase II promoter."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0045582","positive regulation of T cell differentiation","Any process that activates or increases the frequency, rate or extent of T cell differentiation."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0048538","thymus development","The process whose specific outcome is the progression of the thymus over time, from its formation to the mature structure. The thymus is a symmetric bi-lobed organ involved primarily in the differentiation of immature to mature T cells, with unique vascular, nervous, epithelial, and lymphoid cell components."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0051260","protein homooligomerization","The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of identical component monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:2000176","positive regulation of pro-T cell differentiation","Any process that activates or increases the frequency, rate or extent of pro-T cell differentiation."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0005634","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0005654","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0016604","nuclear body","Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0031965","nuclear membrane","Either of the lipid bilayers that surround the nucleus and form the nuclear envelope; excludes the intermembrane space."
"5",54648085,54672346,"ENSTGUG00000012931",100218115,"protein_coding","ZBTB1","zinc finger and BTB domain containing 1","GO:0005813","centrosome","A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle."
"11",18354231,18549138,"ENSTGUG00000009480",100218638,"protein_coding","PEPD","peptidase D","GO:0030145","manganese ion binding","Interacting selectively and non-covalently with manganese (Mn) ions."
"11",18354231,18549138,"ENSTGUG00000009480",100218638,"protein_coding","PEPD","peptidase D","GO:0070006","metalloaminopeptidase activity","Catalysis of the hydrolysis of N-terminal amino acid residues from a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
